Date,Open,High,Low,Close,Volume
1996-06-28,1177.93,1186.33,1147.75,1185.02,713562512
1996-07-05,1185.64,1198.04,1158.34,1158.35,433750000
1996-07-12,1157.69,1160.98,1094.22,1103.49,676944984
1996-07-19,1102.52,1109.86,1008.44,1097.68,834357472
1996-07-26,1096.28,1097.7,1017.64,1079.44,677560008
1996-08-02,1079.21,1125.98,1063.2,1124.92,598837504
1996-08-09,1127.91,1141.4,1113.87,1137.27,576470000
1996-08-16,1136.69,1139.8,1123.92,1133.65,519775008
1996-08-23,1133.92,1146.82,1118.62,1143.05,525562488
1996-08-30,1144.36,1153.9,1137.29,1141.5,532834992
1996-09-06,1133.3,1145.81,1123.14,1139.39,441830000
1996-09-13,1140.79,1188.68,1140.79,1188.67,646305000
1996-09-20,1190.04,1221.03,1187.5,1219.69,728627504
1996-09-27,1216.69,1237.26,1207.8,1230.05,713912512
1996-10-04,1229.14,1247.57,1214.6,1247.56,695382496
1996-10-11,1247.14,1256.72,1232.64,1248.27,678650000
1996-10-18,1250.67,1269.62,1238.24,1242.48,670600000
1996-10-25,1241.95,1253.32,1215.08,1222.6,683192504
1996-11-01,1225.39,1229.63,1202.36,1221.78,675312488
1996-11-08,1223.47,1257.62,1218.23,1257.51,705312488
1996-11-15,1258.24,1274.76,1254.33,1261.8,704712512
1996-11-22,1263.08,1274.66,1250.21,1274.36,709607496
1996-11-29,1275.41,1293.75,1271.54,1292.61,487657496
1996-12-06,1294.78,1313.38,1258.89,1287.68,767487496
1996-12-13,1296.18,1328.95,1281.43,1284.91,753605008
1996-12-20,1289.72,1304.56,1251.03,1288.56,755782512
1996-12-27,1290.68,1297.15,1276.93,1291.38,379942500
1997-01-03,1295.18,1310.84,1272.34,1310.68,559282504
1997-01-10,1314.34,1332.02,1310.63,1332.02,778462512
1997-01-17,1335.45,1350.53,1328.71,1349.05,827104992
1997-01-24,1351.14,1400.53,1349.05,1363.83,877952512
1997-01-31,1367.41,1381.97,1349.28,1379.85,782207504
1997-02-07,1383.97,1384.51,1339.64,1357.71,772990000
1997-02-14,1360.46,1373.75,1319.69,1367.19,816832496
1997-02-21,1369.16,1370.43,1332.05,1334.32,600562496
1997-02-28,1328.4,1355.67,1296.88,1309,819065024
1997-03-07,1306.21,1332.34,1301.83,1311.8,766729992
1997-03-14,1312.72,1326.08,1291.7,1292.97,711002512
1997-03-21,1289.36,1292.97,1239.76,1254.07,757265008
1997-03-28,1251.07,1277.36,1230.96,1249.51,577644992
1997-04-04,1246.35,1246.35,1196.22,1236.73,753614992
1997-04-11,1245.83,1267.41,1206.9,1206.9,677380000
1997-04-18,1209.04,1233.01,1199.68,1222.57,698592496
1997-04-25,1221.98,1242.16,1194.16,1209.29,708552480
1997-05-02,1211.87,1305.38,1203.97,1305.33,755672496
1997-05-09,1311.7,1343.01,1311.7,1335.05,838154992
1997-05-16,1339.05,1353.98,1328.07,1340.73,719740000
